,(1),(2),(3),(4)
,lnland_yield,tfp_cd,lnland_yield,tfp_cd
female_d1720,-0.0072,0.0212,-0.1757,-0.1559
,(0.0233),(0.0198),(0.1588),(0.1403)
male_d1720,0.0588**,0.047,-0.1777**,-0.1564*
,(0.0262),(0.0297),(0.0891),(0.0948)
female_d2023,-0.0036,-0.0007,0.0088,0.0068
,(0.0092),(0.0082),(0.0079),(0.0073)
male_d2023,-0.0042,-0.0013,-0.0012,0.0022
,(0.0081),(0.0075),(0.0044),(0.0043)
female_d2326,-0.001,0,-0.0024,-0.0018
,(0.0047),(0.0043),(0.0033),(0.0031)
male_d2326,-0.0009,0.0011,0.0007,0.0004
,(0.0039),(0.0036),(0.0026),(0.0025)
female_d2932,0.0114*,0.0081,-0.0018,-0.0005
,(0.0060),(0.0055),(0.0031),(0.0030)
male_d2932,0.0108***,0.0093***,0.0007,0.0014
,(0.0039),(0.0036),(0.0022),(0.0020)
female_d3235,0.0041,0.0025,-0.0030,-0.0043
,(0.0088),(0.0081),(0.0058),(0.0057)
male_d3235,0.0035,0.0037,-0.0033,-0.0018
,(0.0067),(0.0060),(0.0033),(0.0032)
female_d35,-0.0606**,-0.0535**,-0.0972**,-0.0675
,(0.0236),(0.0235),(0.0406),(0.0418)
male_d35,-0.0167,-0.0227*,-0.0357**,-0.0401**
,(0.0142),(0.0134),(0.0175),(0.0159)
female_d2629,,,0.0030,0.0042
,,,(0.0030),(0.0029)
male_d2629,,,0.0003,0.0019
,,,(0.0026),(0.0023)
N,11402,11402,11402,11402
adj. R-sq,0.42,0.36,0.42,0.36
Standard errors in parentheses,,,,
"=""* p<0.1", ** p<0.05," *** p<0.01""",,
