="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="(0.1768)",="(0.2381)",="(0.0651)",="(0.2354)",="(0.5481)",="(0.1838)",="(0.0549)",="(0.0364)",="(0.3299)",="(0.0330)"
="dist_hh",="-0.0004",="-0.0003",="0.0001",="-0.0003",="0.0010",="0.0010",="0.0001",="0.0001",="-0.0005",="0.0001"
="",="(0.0004)",="(0.0006)",="(0.0001)",="(0.0005)",="(0.0009)",="(0.0009)",="(0.0002)",="(0.0002)",="(0.0003)",="(0.0001)"
="plot_slope",="0.0017",="0.0016",="-0.0013",="0.0014",="-0.0083",="0.0055",="0.0061***",="-0.0036***",="-0.0017",="-0.0002"
="",="(0.0056)",="(0.0055)",="(0.0022)",="(0.0078)",="(0.0234)",="(0.0098)",="(0.0022)",="(0.0012)",="(0.0090)",="(0.0010)"
="plot_elev",="0.0003",="-0.0001",="-0.0002",="-0.0003",="-0.0009",="0.0003",="-0.0002",="0.0001*",="-0.0000",="-0.0000"
="",="(0.0005)",="(0.0006)",="(0.0001)",="(0.0004)",="(0.0018)",="(0.0009)",="(0.0001)",="(0.0001)",="(0.0005)",="(0.0000)"
="plot_wet",="0.0049",="0.0042",="0.0008",="0.0050",="-0.0056",="-0.0072",="-0.0006",="0.0000",="0.0168*",="-0.0014"
="",="(0.0046)",="(0.0049)",="(0.0019)",="(0.0062)",="(0.0135)",="(0.0064)",="(0.0018)",="(0.0011)",="(0.0087)",="(0.0011)"
="soil_fertility_pca",="0.0167",="-0.0475",="0.0162",="-0.0457",="0.3409**",="-0.2850",="0.0478",="-0.0439",="0.1353",="-0.0478"
="",="(0.2054)",="(0.2115)",="(0.0548)",="(0.2151)",="(0.1721)",="(0.2832)",="(0.0710)",="(0.0384)",="(0.2379)",="(0.0460)"
="improved",="0.2869***",="0.3606***",="-0.0407",="0.0104",="0.2384",="0.0851",="-0.0964***",="0.0354**",="0.1169",="0.0230"
="",="(0.0721)",="(0.0801)",="(0.0314)",="(0.0835)",="(0.1691)",="(0.0919)",="(0.0243)",="(0.0151)",="(0.1143)",="(0.0222)"
="irrigated",="-0.0508",="-0.0905",="0.0451",="0.1135",="0.0513",="0.0382",="-0.0132",="-0.0055",="-0.0142",="-0.0123"
="",="(0.1084)",="(0.0993)",="(0.0482)",="(0.1047)",="(0.3572)",="(0.0934)",="(0.0391)",="(0.0254)",="(0.1162)",="(0.0222)"
="crop_diversity",="0.1877***",="0.1647***",="0.0480**",="0.3496***",="0.6546***",="0.1430*",="",="",="0.1997***",="0.0197*"
="",="(0.0513)",="(0.0539)",="(0.0192)",="(0.0653)",="(0.1912)",="(0.0776)",="",="",="(0.0753)",="(0.0103)"
="erosion_protection",="0.3782*",="0.2843",="0.1694",="0.1864",="0.5950",="-0.5496",="-0.0668",="0.0494",="0.1125",="-0.1009"
="",="(0.2236)",="(0.2319)",="(0.1030)",="(0.2132)",="(0.5240)",="(0.3741)",="(0.0924)",="(0.0544)",="(0.2842)",="(0.0622)"
="age",="0.0026",="0.0018",="0.0022**",="-0.0005",="0.0067",="0.0056",="-0.0008",="0.0001",="-0.0005",="-0.0000"
="",="(0.0023)",="(0.0026)",="(0.0009)",="(0.0030)",="(0.0059)",="(0.0057)",="(0.0009)",="(0.0006)",="(0.0037)",="(0.0005)"
="edu_primary",="0.0067",="0.0464",="0.0114",="0.0095",="0.1494",="0.1658**",="0.0111",="-0.0144",="-0.2279***",="0.0129"
="",="(0.0548)",="(0.0602)",="(0.0184)",="(0.0594)",="(0.1250)",="(0.0796)",="(0.0172)",="(0.0113)",="(0.0800)",="(0.0121)"
="married",="-0.0207",="0.0518",="-0.0237",="-0.0497",="-0.2835",="-0.3779**",="-0.0411",="0.0319",="0.2146",="0.0363*"
="",="(0.1069)",="(0.1202)",="(0.0325)",="(0.1561)",="(0.3018)",="(0.1708)",="(0.0338)",="(0.0200)",="(0.2018)",="(0.0204)"
="female_hhead",="0.1499",="0.2373",="-0.0348",="-0.0987",="-0.4854",="0.4006",="-0.0387",="0.0400",="0.2644",="0.0129"
="",="(0.1520)",="(0.1602)",="(0.0549)",="(0.2262)",="(0.4611)",="(0.2510)",="(0.0492)",="(0.0296)",="(0.2898)",="(0.0292)"
="joint_decision",="0.0219",="0.0518",="0.0001",="0.0292",="0.1439",="0.1592*",="-0.0007",="0.0023",="-0.0611",="-0.0082"
="",="(0.0595)",="(0.0664)",="(0.0227)",="(0.0711)",="(0.1796)",="(0.0923)",="(0.0188)",="(0.0117)",="(0.1010)",="(0.0137)"
="livestock",="0.0973**",="0.0728",="0.0282*",="0.0592",="0.0746",="-0.1022",="-0.0082",="0.0112",="0.0962",="0.0045"
="",="(0.0457)",="(0.0488)",="(0.0168)",="(0.0540)",="(0.1112)",="(0.0722)",="(0.0142)",="(0.0087)",="(0.0757)",="(0.0089)"
="nonfarm_work",="-0.0048",="0.0145",="0.0035",="0.0646",="0.0462",="-0.0274",="0.0233",="-0.0121",="-0.0157",="0.0123"
="",="(0.0472)",="(0.0514)",="(0.0175)",="(0.0547)",="(0.1172)",="(0.0802)",="(0.0143)",="(0.0092)",="(0.0743)",="(0.0108)"
="fallow_plots",="-0.0002",="-0.0983",="-0.0174",="-0.1430",="-1.0844***",="-0.0052",="-0.0290",="0.0158",="0.1837*",="0.0136"
="",="(0.1297)",="(0.1551)",="(0.0420)",="(0.1229)",="(0.3240)",="(0.2796)",="(0.0331)",="(0.0201)",="(0.1076)",="(0.0216)"
="electricity_access",="0.0586",="0.0405",="-0.0016",="0.0309",="-0.1468",="-0.0327",="0.0254",="-0.0230*",="0.1254",="0.0096"
="",="(0.0560)",="(0.0612)",="(0.0233)",="(0.0720)",="(0.1369)",="(0.0946)",="(0.0193)",="(0.0123)",="(0.0944)",="(0.0145)"
="home_size",="0.0312**",="0.0428***",="-0.0145***",="0.0502***",="0.0802**",="0.0510*",="-0.0042",="0.0029",="0.0158",="-0.0021"
="",="(0.0134)",="(0.0151)",="(0.0050)",="(0.0152)",="(0.0333)",="(0.0267)",="(0.0039)",="(0.0025)",="(0.0175)",="(0.0031)"
="farm_size",="-0.0864***",="-0.0815***",="0.0075",="-0.0264",="0.1261",="-0.0470",="0.0117",="-0.0020",="0.0345",="0.0110**"
="",="(0.0272)",="(0.0287)",="(0.0119)",="(0.0296)",="(0.0864)",="(0.0401)",="(0.0075)",="(0.0053)",="(0.0421)",="(0.0054)"
="dependency_ratio",="-0.0214",="-0.0428",="0.0199*",="0.0216",="-0.2070**",="0.1072*",="0.0213**",="-0.0144**",="0.0676",="0.0045"
="",="(0.0319)",="(0.0348)",="(0.0118)",="(0.0426)",="(0.0931)",="(0.0557)",="(0.0102)",="(0.0062)",="(0.0539)",="(0.0084)"
="_cons",="38.5176***",="43.0747***",="-3.9384",="-14.8840",="-43.5606",="-19.3815",="-2.1893",="1.6519",="-49.5004",="4.2708"
="",="(12.5463)",="(13.5610)",="(6.1149)",="(25.7236)",="(73.6368)",="(36.0767)",="(5.3520)",="(3.0739)",="(32.8581)",="(2.9856)"
="N",="10799",="10440",="11402",="7535",="1962",="3433",="11402",="11402",="4428",="11402"
="adj. R-sq",="0.51",="0.54",="0.47",="0.48",="0.48",="0.53",="0.42",="0.45",="0.54",="0.55"
="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
