="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="electricity_access",="0.0281",="0.0525",="0.0047",="0.0765",="0.0877*",="-2.4696",="-0.0198",="-0.0160",="0.0672",="-0.0154"
="",="(0.0476)",="(0.0532)",="(0.0190)",="(0.0483)",="(0.0483)",="(10.6832)",="(0.0167)",="(0.0130)",="(0.0646)",="(0.0170)"
="home_size",="0.0227*",="0.0523***",="-0.0147***",="-0.0144",="-0.0160",="-5.3314*",="-0.0051",="0.0010",="-0.0027",="-0.0024"
="",="(0.0135)",="(0.0145)",="(0.0055)",="(0.0125)",="(0.0128)",="(2.7299)",="(0.0045)",="(0.0032)",="(0.0168)",="(0.0049)"
="farm_size",="-0.0742***",="-0.0838***",="0.0038",="0.2666***",="0.3214***",="-6.9440",="-0.0520***",="-0.0306***",="-0.0092",="-0.0377***"
="",="(0.0233)",="(0.0242)",="(0.0081)",="(0.0254)",="(0.0255)",="(6.9573)",="(0.0089)",="(0.0066)",="(0.0318)",="(0.0079)"
="dependency_ratio",="0.0021",="-0.0129",="-0.0025",="-0.0018",="-0.0243",="-2.9615",="0.0082",="-0.0002",="0.0337",="-0.0028"
="",="(0.0219)",="(0.0238)",="(0.0088)",="(0.0222)",="(0.0226)",="(5.9408)",="(0.0084)",="(0.0062)",="(0.0324)",="(0.0081)"
="_cons",="3.5914",="3.9015",="1.2463",="18.9471***",="13.4396***",="536.8620",="0.8512",="1.3501",="12.6043",="-2.1959"
="",="(4.1930)",="(4.2268)",="(2.0565)",="(3.9689)",="(3.5847)",="(1.1e+03)",="(1.4610)",="(1.0518)",="(9.1661)",="(1.6354)"
="N",="17784",="17468",="18149",="17664",="17543",="18149",="18149",="18149",="7441",="18149"
="adj. R-sq",="0.47",="0.49",="0.32",="0.79",="0.83",="0.53",="0.27",="0.38",="0.44",="0.35"
="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
